Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Trent Whitfield,15,808,256,344,4,600,8,194,11,18,6,29,1,65,38,44,1,82
Josh Green,10,368,102,146,7,248,9,341,36,40,8,76,1,31,35,19,2,54
Arron Asham,6,139,40,49,16,89,15,789,94,114,102,208,1,67,43,49,13,92
Boyd Kane,15,952,221,302,23,523,5,31,0,3,3,3,1,68,48,45,5,93
Mark Parrish,6,169,52,71,0,123,12,722,216,171,4,387,1,54,54,38,1,92
Matt Pettinger,6,267,67,62,14,129,9,422,65,58,10,123,1,27,14,6,3,20
Cory Sarich,3,94,3,32,4,35,15,969,21,137,45,158,1,46,8,40,5,48
Joel Kwiatkowski,6,276,45,93,0,138,7,282,16,29,0,45,1,62,21,43,1,64
Michal Rozsival,3,79,11,30,2,41,14,890,66,227,3,293,1,71,14,55,2,69
Shane Willis,8,317,115,136,1,251,5,174,31,43,0,74,1,64,58,54,0,112
Ryan Johnson,3,102,27,67,0,94,13,701,38,84,2,122,1,2,0,0,0,0
Josh Holden,6,333,119,155,13,274,6,60,5,9,0,14,1,56,41,58,4,99
David Koci,7,207,2,13,78,15,5,142,3,1,43,4,1,70,2,7,7,9
Chuck Kobasew,3,108,53,26,4,79,11,601,110,100,15,210,1,55,41,21,2,62
Joey Tetarenko,8,415,24,64,113,88,4,73,4,1,19,5,1,49,2,12,14,14
Jannik Hansen,4,129,34,46,1,80,8,470,77,107,5,184,1,64,24,40,5,64
Rick Berry,7,383,25,74,36,99,4,197,2,13,22,15,1,59,9,21,6,30
Mark Smith,4,165,41,73,11,114,7,377,23,47,33,70,1,70,42,67,13,109
Bryce Lampman,9,365,26,72,0,98,3,10,0,0,0,0,1,29,1,17,0,18
Kirby Law,8,540,198,232,37,430,3,9,0,1,0,1,1,49,34,44,10,78
Martin Sonnenberg,8,476,126,150,7,276,3,63,2,3,1,5,1,72,40,52,2,92
Sergei Varlamov,6,398,122,178,1,300,4,63,8,7,0,15,1,72,66,53,2,119
Ronald Petrovicky,4,155,35,54,16,89,6,342,41,51,27,92,1,71,64,49,17,113
Jay Henderson,7,387,86,102,71,188,3,33,1,3,3,4,1,72,49,45,10,94
Zenith Komarniski,7,415,56,104,21,160,3,21,1,1,0,2,1,46,7,24,5,31
Jesse Wallin,5,233,10,42,3,52,4,49,0,2,3,2,1,14,1,6,1,7
Lance Ward,5,243,12,44,22,56,4,209,4,12,29,16,1,71,8,25,12,33
Alex Edler,2,51,5,22,0,27,9,568,66,193,0,259,1,62,13,40,0,53
Roman Polak,2,87,4,15,2,19,9,480,18,70,13,88,1,65,5,18,1,23
Alexander Urbom,4,225,5,49,5,54,4,34,3,1,2,4,1,66,12,21,1,33
Ryan Carter,2,89,19,22,7,41,8,413,34,47,30,81,1,15,0,1,1,1
Scott Parker,2,100,16,10,37,26,8,308,7,14,75,21,1,71,30,22,16,52
Eric Brewer,1,25,2,2,2,4,16,1009,77,194,21,271,1,34,5,28,3,33
Johnathan Aitken,7,410,8,42,44,50,2,44,0,1,8,1,1,69,9,25,11,34
Mikael Backlund,2,55,15,17,0,32,7,298,51,77,2,128,1,28,12,18,0,30
T.J. Galiardi,2,67,10,18,0,28,7,321,44,61,2,105,1,72,18,52,3,70
Matt Ellison,4,256,64,93,8,157,3,43,3,11,1,14,1,72,40,56,0,96
Petr Kalus,5,213,40,40,23,80,2,11,4,1,0,5,1,60,36,22,4,58
Duncan Keith,1,75,7,18,0,25,10,766,75,340,6,415,1,37,11,35,2,46
Radko Gudas,3,206,15,42,42,57,3,126,7,25,10,32,1,65,7,30,9,37
Andrej Podkonicky,4,251,55,76,5,131,2,8,1,0,0,1,1,64,30,44,3,74
Kevin Connauton,4,221,33,55,10,88,2,98,10,19,1,29,1,69,24,48,7,72
Konstantin Pushkarev,4,234,47,72,3,119,2,17,2,3,0,5,1,69,22,30,2,52
Mikhail Yakubov,4,182,22,31,0,53,2,53,2,10,0,12,1,71,32,57,0,89
Tyler Pitlick,4,159,21,43,1,64,2,27,3,0,0,3,1,56,27,35,0,62
Ben Clymer,1,50,11,16,4,27,7,438,52,77,25,129,1,70,12,44,5,56
Jakub Klepis,3,104,22,52,2,74,2,66,4,10,0,14,1,70,14,50,0,64
Dmitri Yakushin,5,238,7,23,11,30,1,2,0,0,0,0,1,42,1,24,4,25
Barrett Heisten,4,250,38,43,11,81,1,10,0,0,0,0,1,58,20,57,3,77
Garret Stroshein,4,140,2,7,47,9,1,3,0,0,2,0,1,11,0,0,5,0
Greg Kuznik,4,207,8,14,11,22,1,1,0,0,0,0,1,72,5,12,14,17
Michal Sivek,4,127,28,49,2,77,1,38,3,3,0,6,1,53,23,37,1,60
Marian Cisar,1,2,1,0,0,1,3,73,13,17,0,30,1,52,33,40,2,73
Victor Rask,2,86,17,27,0,44,1,80,11,22,0,33,1,64,33,30,0,63
Greg Leeb,1,79,14,17,0,31,1,2,0,0,0,0,1,68,46,50,1,96
Henrik Samuelsson,1,68,18,22,0,40,1,3,0,0,0,0,1,28,7,16,1,23
Tomas Kopecky,6,268,73,89,4,162,10,578,68,106,3,174,2,109,56,70,2,126
Andrew Ference,4,89,14,38,4,52,15,901,43,182,31,225,2,112,22,78,5,100
Jason Chimera,4,237,70,89,11,159,14,869,143,186,33,329,2,130,66,66,6,132
Darcy Hordichuk,4,100,7,11,19,18,12,542,20,21,137,41,2,129,9,10,65,19
Brett McLean,7,351,95,140,0,235,6,385,56,106,2,162,2,119,89,100,1,189
Tyler Sloan,12,435,15,50,16,65,3,99,4,13,1,17,2,140,8,57,9,65
Ryan Hamilton,9,494,154,132,20,286,4,30,1,4,0,5,2,15,0,1,0,1
Todd Fedoruk,4,42,1,6,16,7,9,545,32,65,103,97,2,119,25,24,35,49
Colin McDonald,7,449,110,127,17,237,5,140,18,26,3,44,2,3,0,0,0,0
Scott Hannan,2,43,5,12,2,17,16,1055,38,179,9,217,2,94,25,60,2,85
Brad Ference,5,277,14,69,30,83,6,250,4,30,35,34,2,105,18,66,20,84
Ryan Shannon,5,186,41,109,2,150,6,305,35,64,0,99,2,138,5,30,21,35
Tomas Fleischmann,3,104,52,63,0,115,10,581,123,187,1,310,2,125,54,92,0,146
Martin Erat,2,90,20,44,0,64,13,881,176,369,0,545,2,114,50,85,1,135
Nick Holden,6,295,26,92,3,118,4,139,15,24,0,39,2,137,30,61,1,91
Steve Gainey,6,355,60,90,32,150,4,33,0,2,2,2,2,136,51,68,12,119
Brad Leeb,7,469,173,140,7,313,3,5,0,0,0,0,2,127,55,70,10,125
Robert Schnabel,7,341,13,36,46,49,3,22,0,3,2,3,2,62,1,22,9,23
Fredrik Sjostrom,3,21,2,7,0,9,7,489,46,58,1,104,2,121,53,74,0,127
Josef Melichar,3,152,6,18,9,24,7,349,7,42,6,49,2,132,17,52,6,69
Oleg Saprykin,3,94,29,37,2,66,7,325,55,82,2,137,2,114,77,82,3,159
Kyle Calder,2,77,26,31,1,57,10,590,114,180,4,294,2,123,69,96,2,165
Cam Severson,6,338,62,51,49,113,3,37,3,0,5,3,2,110,48,53,21,101
Jim O'Brien,6,266,60,86,5,146,3,63,8,4,0,12,2,133,48,69,1,117
Milan Bartovic,6,323,80,56,2,136,3,50,3,14,1,17,2,90,41,56,2,97
Mike Siklenka,8,229,20,33,32,53,2,2,0,0,0,0,2,69,19,13,5,32
Jaroslav Svoboda,4,93,16,20,1,36,4,134,12,17,0,29,2,110,49,76,1,125
Milan Kraft,4,128,51,75,3,126,4,207,41,41,0,82,2,124,74,81,0,155
Robyn Regehr,1,5,0,0,0,0,15,1089,36,163,40,199,2,119,16,30,10,46
Marek Svatos,2,60,18,8,0,26,7,344,100,72,1,172,2,92,61,57,0,118
Burke Henry,6,375,24,111,31,135,2,39,2,6,3,8,2,140,36,123,20,159
Craig Weller,6,300,32,51,31,83,2,95,4,10,12,14,2,99,6,18,15,24
Martin Cibak,4,177,15,39,0,54,3,154,5,18,0,23,2,124,37,55,0,92
Tomas Plihal,4,193,25,47,1,72,3,89,7,9,0,16,2,139,67,96,1,163
Sven Baertschi,3,124,38,57,0,95,4,69,10,20,0,30,2,113,67,112,0,179
Mitch Fritz,11,322,11,21,85,32,1,20,0,0,6,0,2,110,13,2,51,15
Martin Marincin,5,128,10,35,0,45,2,85,1,10,0,11,2,125,25,71,1,96
Tomas Kundratek,5,247,36,60,3,96,2,30,1,6,0,7,2,116,6,52,5,58
Ole-Kristian Tollefsen,2,74,3,16,11,19,5,163,4,8,23,12,2,96,9,41,7,50
Oscar Moller,3,110,40,48,0,88,3,87,12,14,0,26,2,131,71,81,0,152
Roman Horak,3,139,41,48,0,89,3,84,6,13,0,19,2,130,47,78,1,125
Jeremy Yablonski,8,280,7,15,97,22,1,1,0,0,1,0,2,74,4,1,28,5
Vladimir Mihalik,4,270,6,52,21,58,2,15,0,3,0,3,2,115,10,28,9,38
Nino Niederreiter,2,80,31,23,0,54,4,225,40,36,0,76,2,120,77,53,2,130
Jame Pollock,7,330,69,128,2,197,1,9,0,0,0,0,2,125,21,68,0,89
Riley Armstrong,7,334,78,70,4,148,1,2,0,0,0,0,2,134,24,36,2,60
Josh Olson,6,241,41,35,6,76,1,5,1,0,0,1,2,144,62,86,10,148
Ryan Bonni,6,274,8,36,22,44,1,3,0,0,0,0,2,113,14,50,13,64
Ty Jones,3,158,21,36,40,57,2,14,0,0,3,0,2,106,54,76,25,130
Rasmus Rissanen,5,240,7,29,3,36,1,6,0,0,0,0,2,139,5,22,2,27
Jaroslav Kristek,4,172,38,43,0,81,1,6,0,0,0,0,2,115,64,73,1,137
Roman Tvrdon,4,170,17,21,0,38,1,9,0,1,0,1,2,131,54,78,1,132
Ryan Johansen,1,40,17,16,0,33,4,271,73,94,1,167,2,134,65,96,1,161
Brett Kulak,3,36,5,11,1,16,1,1,0,0,0,0,2,72,9,15,0,24
Ivan Baranka,3,174,13,57,4,70,1,1,0,1,0,1,2,122,10,28,2,38
Jordan Martinook,3,182,38,54,6,92,1,8,0,1,0,1,2,144,51,41,7,92
Stanislav Gron,3,202,48,34,2,82,1,1,0,0,0,0,2,110,37,47,1,84
Colton Sissons,2,138,50,36,1,86,1,17,1,3,0,4,2,121,43,39,4,82
Jonas Johansson,2,93,13,26,0,39,1,1,0,0,0,0,2,98,28,44,0,72
Kyle Freadrich,1,5,0,0,3,0,2,23,0,1,8,1,2,114,8,7,43,15
Morgan Rielly,1,14,1,2,0,3,2,154,10,46,0,56,2,83,9,37,1,46
Roman Wick,1,70,20,22,0,42,1,7,0,0,0,0,2,127,53,65,1,118
Sam Reinhart,1,3,0,3,0,3,1,9,0,1,0,1,2,71,30,34,0,64
Jerred Smithson,7,303,23,78,2,101,11,606,39,57,8,96,3,194,40,56,14,96
Matt Walker,8,240,9,43,31,52,9,314,4,26,54,30,3,197,9,49,37,58
Eric Godard,8,297,11,13,98,24,8,335,6,12,97,18,3,133,5,10,79,15
Scottie Upshall,5,62,32,28,1,60,12,553,115,119,5,234,3,173,99,127,2,226
Steve McCarthy,7,193,14,53,1,67,8,302,17,38,4,55,3,152,43,85,9,128
Quintin Laing,13,692,92,171,22,263,4,79,3,8,1,11,3,197,44,64,7,108
Garnet Exelby,7,457,21,65,61,86,7,408,7,43,30,50,3,189,13,29,17,42
Jamie Lundmark,8,298,89,133,10,222,6,295,40,59,9,99,3,159,96,120,9,216
Trent Hunter,5,297,112,140,4,252,9,497,101,135,2,236,3,177,77,83,4,160
Lawrence Nycholat,10,557,73,260,31,333,4,50,2,7,0,9,3,213,51,137,18,188
Tyler Bouck,8,415,55,113,26,168,5,91,4,8,9,12,3,178,63,84,29,147
Blair Betts,4,180,45,58,0,103,9,477,41,37,0,78,3,157,79,98,2,177
Steve MacIntyre,7,181,3,5,32,8,5,91,2,2,18,4,3,123,3,1,48,4
David Schlemko,5,129,13,51,0,64,7,231,9,41,0,50,3,198,22,109,3,131
Paul Gaustad,3,238,37,100,29,137,11,664,87,138,46,225,3,198,53,82,28,135
Shaone Morrisonn,4,216,15,49,8,64,8,480,11,64,6,75,3,179,25,57,6,82
Jeremy Reich,10,647,116,131,132,247,3,99,2,4,21,6,3,204,86,117,37,203
Nick Tarnasky,6,315,54,45,68,99,5,245,13,17,39,30,3,150,36,43,15,79
Clayton Stoner,5,283,15,65,29,80,6,296,5,34,36,39,3,189,23,70,12,93
Kyle Cumiskey,5,207,21,80,0,101,6,139,9,26,0,35,3,177,12,67,1,79
Marcel Hossa,5,186,74,63,0,137,6,237,31,30,0,61,3,188,65,99,0,164
Steven Goertzen,7,382,46,58,34,104,4,68,2,2,12,4,3,206,33,46,18,79
Clarke MacArthur,3,163,56,102,4,158,9,544,133,171,4,304,3,190,88,136,8,224
Brad Moran,8,523,151,270,1,421,3,8,1,2,0,3,3,215,161,179,1,340
Micki DuPont,6,414,69,173,4,242,4,23,1,3,0,4,3,200,47,130,7,177
Stephen Peat,6,68,3,4,15,7,4,130,8,2,35,10,3,134,8,28,36,36
D.J. King,4,144,10,15,29,25,6,118,4,7,33,11,3,183,38,48,40,86
Michael Grabner,4,180,68,52,0,120,6,317,95,60,0,155,3,180,88,41,0,129
Darren Helm,3,124,29,39,0,68,8,366,59,77,0,136,3,201,76,91,3,167
Brooks Laich,2,75,22,27,0,49,11,683,132,185,5,317,3,206,78,124,1,202
Joffrey Lupul,2,6,4,5,0,9,11,655,194,212,10,406,3,191,127,113,2,240
Luca Sbisa,3,14,3,10,0,13,7,342,12,55,13,67,3,109,14,52,7,66
Ryan Reaves,4,214,20,25,47,45,5,275,17,17,48,34,3,201,36,43,7,79
Andrew Ladd,2,27,12,8,2,20,10,691,185,235,16,420,3,137,49,71,12,120
Spencer Machacek,6,415,117,155,20,272,3,25,2,7,1,9,3,203,77,91,10,168
Zdenek Blatny,6,331,66,89,8,155,3,25,3,0,0,3,3,170,102,107,4,209
Michal Repik,4,243,66,116,2,182,4,72,9,11,0,20,3,176,75,93,4,168
Tomas Vincour,4,157,45,45,0,90,4,95,7,10,0,17,3,171,62,61,4,123
Jakub Cutta,5,298,9,34,9,43,3,8,0,0,0,0,3,177,10,23,4,33
Kyle Rossiter,5,349,10,34,24,44,3,11,0,1,1,1,3,195,21,55,31,76
Dale Weise,3,194,57,54,19,111,5,258,23,36,25,59,3,173,51,61,17,112
Matt Calvert,3,128,40,42,7,82,5,209,42,44,10,86,3,198,99,131,11,230
Derek Dorsett,2,71,11,13,29,24,7,410,38,60,89,98,3,180,49,79,42,128
