Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Zack Fitzgerald,9,447,11,38,117,49,1,1,0,0,0,0,4,248,22,54,46,76
Wade Skolney,5,310,6,33,45,39,1,1,0,0,0,0,5,172,10,44,19,54
Scott Jackson,4,240,2,30,17,32,1,1,0,0,0,0,6,329,23,96,8,119
Brodie Dupont,6,364,66,102,29,168,1,1,0,0,0,0,4,214,81,68,22,149
Curtis Hamilton,4,208,30,38,3,68,1,1,0,0,0,0,5,216,67,106,1,173
Kris Foucault,4,157,30,35,1,65,1,1,0,0,0,0,5,195,56,55,5,111
Layne Ulmer,5,311,65,87,0,152,1,1,0,0,0,0,4,261,161,154,5,315
Scott Glennie,5,230,46,72,1,118,1,1,0,0,0,0,4,252,121,187,8,308
Jeremy Yablonski,8,280,7,15,97,22,1,1,0,0,1,0,2,74,4,1,28,5
Duncan Siemens,3,103,1,9,8,10,1,1,0,0,0,0,4,188,14,78,19,92
Mitch Callahan,4,237,59,52,20,111,1,1,0,0,0,0,3,203,57,71,48,128
Brendan Ranford,2,138,30,54,0,84,1,1,0,0,0,0,5,278,115,155,6,270
Colin Smith,2,129,20,45,0,65,1,1,0,0,0,0,4,200,61,104,4,165
Masi Marjamaki,2,153,15,33,4,48,1,1,0,0,0,0,3,179,50,70,6,120
Milan Kytnar,2,91,14,18,1,32,1,1,0,0,0,0,3,172,50,76,4,126
Brett Kulak,3,36,5,11,1,16,1,1,0,0,0,0,2,72,9,15,0,24
Ivan Baranka,3,174,13,57,4,70,1,1,0,1,0,1,2,122,10,28,2,38
Stanislav Gron,3,202,48,34,2,82,1,1,0,0,0,0,2,110,37,47,1,84
Jonas Johansson,2,93,13,26,0,39,1,1,0,0,0,0,2,98,28,44,0,72
Greg Kuznik,4,207,8,14,11,22,1,1,0,0,0,0,1,72,5,12,14,17
Carter Bancks,6,281,21,45,21,66,1,2,0,0,0,0,5,262,58,120,15,178
Brett Lysak,5,226,35,44,5,79,1,2,0,0,0,0,4,265,134,175,8,309
Jesse Schultz,5,305,103,125,2,228,1,2,0,0,0,0,4,272,110,119,6,229
Mike Siklenka,8,229,20,33,32,53,2,2,0,0,0,0,2,69,19,13,5,32
Doug Lynch,3,161,12,29,12,41,1,2,0,0,0,0,5,266,55,87,40,142
Matt Konan,3,74,2,6,0,8,1,2,0,0,0,0,5,301,19,88,17,107
Riley Armstrong,7,334,78,70,4,148,1,2,0,0,0,0,2,134,24,36,2,60
Dominik Uher,3,193,24,33,16,57,1,2,0,0,0,0,3,181,58,86,14,144
Shay Stephenson,2,61,11,10,0,21,1,2,0,0,0,0,4,230,38,48,7,86
Keegan Lowe,2,121,4,19,16,23,1,2,0,0,2,0,3,212,7,54,24,61
Dmitri Yakushin,5,238,7,23,11,30,1,2,0,0,0,0,1,42,1,24,4,25
Greg Leeb,1,79,14,17,0,31,1,2,0,0,0,0,1,68,46,50,1,96
John Negrin,6,177,7,26,3,33,1,3,0,1,0,1,5,235,13,104,5,117
Grant McNeill,7,124,5,3,63,8,1,3,0,0,1,0,4,260,11,21,61,32
Dylan McIlrath,4,182,12,27,40,39,2,3,0,0,2,0,4,232,16,58,48,74
Ross Lupaschuk,4,278,49,73,27,122,1,3,0,0,0,0,4,267,63,104,30,167
Ryan Bonni,6,274,8,36,22,44,1,3,0,0,0,0,2,113,14,50,13,64
Garret Stroshein,4,140,2,7,47,9,1,3,0,0,2,0,1,11,0,0,5,0
Henrik Samuelsson,1,68,18,22,0,40,1,3,0,0,0,0,1,28,7,16,1,23
Jason MacDonald,7,364,59,68,92,127,1,4,0,0,1,0,6,184,14,18,2,32
Carsen Germyn,6,404,100,165,30,265,2,4,0,0,0,0,5,324,116,167,22,283
Brody Sutter,4,141,24,35,5,59,1,4,0,0,0,0,4,231,57,68,9,125
Owen Fussey,4,137,9,18,4,27,1,4,0,1,0,1,4,237,106,73,3,179
Dave Morisset,3,122,15,16,6,31,1,4,0,0,1,0,4,196,65,72,16,137
Mike Card,3,92,2,13,1,15,1,4,0,0,0,0,4,269,35,112,4,147
David Musil,2,126,4,19,2,23,1,4,0,2,0,2,3,192,19,65,8,84
Duncan Milroy,5,344,72,110,1,182,1,5,0,1,0,1,5,264,132,155,2,287
Jonathan Filewich,4,292,69,73,2,142,1,5,0,0,0,0,6,321,121,125,5,246
Brad Leeb,7,469,173,140,7,313,3,5,0,0,0,0,2,127,55,70,10,125
Patrick Holland,3,147,16,31,0,47,1,5,0,0,0,0,4,203,63,144,5,207
Josh Olson,6,241,41,35,6,76,1,5,1,0,0,1,2,144,62,86,10,148
Ryan Keller,5,284,102,98,2,200,1,6,0,0,0,0,4,257,120,117,4,237
Rasmus Rissanen,5,240,7,29,3,36,1,6,0,0,0,0,2,139,5,22,2,27
Mario Bliznak,3,214,31,40,0,71,2,6,1,0,0,1,3,183,36,58,1,94
Jaroslav Kristek,4,172,38,43,0,81,1,6,0,0,0,0,2,115,64,73,1,137
Landon Ferraro,5,270,75,65,10,140,2,7,1,0,0,1,5,220,76,76,17,152
Roman Wick,1,70,20,22,0,42,1,7,0,0,0,0,2,127,53,65,1,118
Ray Macias,5,178,18,47,0,65,2,8,0,1,0,1,5,280,66,118,0,184
Brad Moran,8,523,151,270,1,421,3,8,1,2,0,3,3,215,161,179,1,340
Jakub Cutta,5,298,9,34,9,43,3,8,0,0,0,0,3,177,10,23,4,33
Shaun Heshka,5,354,25,89,3,114,1,8,0,2,0,2,3,204,25,82,3,107
Jordan Martinook,3,182,38,54,6,92,1,8,0,1,0,1,2,144,51,41,7,92
Andrej Podkonicky,4,251,55,76,5,131,2,8,1,0,0,1,1,64,30,44,3,74
Griffin Reinhart,1,59,7,15,0,22,1,8,0,1,0,1,3,105,18,43,3,61
Mike Funk,4,151,4,23,3,27,2,9,0,2,0,2,4,280,23,98,8,121
Jame Pollock,7,330,69,128,2,197,1,9,0,0,0,0,2,125,21,68,0,89
Kirby Law,8,540,198,232,37,430,3,9,0,1,0,1,1,49,34,44,10,78
Roman Tvrdon,4,170,17,21,0,38,1,9,0,1,0,1,2,131,54,78,1,132
Sam Reinhart,1,3,0,3,0,3,1,9,0,1,0,1,2,71,30,34,0,64
Alex Plante,4,212,6,37,35,43,3,10,0,2,1,2,5,224,18,71,16,89
John Persson,4,177,44,30,3,74,1,10,1,0,0,1,3,200,63,67,1,130
Bryce Lampman,9,365,26,72,0,98,3,10,0,0,0,0,1,29,1,17,0,18
Barrett Heisten,4,250,38,43,11,81,1,10,0,0,0,0,1,58,20,57,3,77
Triston Grant,10,633,73,80,139,153,2,11,0,1,3,1,5,291,52,35,99,87
Kyle Rossiter,5,349,10,34,24,44,3,11,0,1,1,1,3,195,21,55,31,76
Petr Kalus,5,213,40,40,23,80,2,11,4,1,0,5,1,60,36,22,4,58
Nick Drazenovic,8,469,121,194,4,315,3,12,0,0,0,0,5,281,77,137,3,214
Brendan Shinnimin,3,190,47,61,6,108,1,12,0,1,0,1,5,266,131,206,9,337
Brandon Davidson,4,150,11,17,5,28,1,12,1,0,0,1,3,200,22,112,7,134
Dean Arsene,12,618,15,80,79,95,1,13,0,0,3,0,4,276,8,40,36,48
Ty Rattie,2,131,52,38,1,90,2,13,0,2,0,2,4,207,103,135,1,238
Dane Byers,10,564,128,177,95,305,3,14,1,0,4,1,4,236,49,50,39,99
Brett Bulmer,4,145,20,24,11,44,2,14,0,3,0,3,4,178,65,86,15,151
Ty Jones,3,158,21,36,40,57,2,14,0,0,3,0,2,106,54,76,25,130
Joe Morrow,3,155,14,46,2,60,1,15,1,0,0,1,5,227,33,118,14,151
Tyler Wotherspoon,2,109,3,30,0,33,2,15,0,4,0,4,4,178,10,35,4,45
Vladimir Mihalik,4,270,6,52,21,58,2,15,0,3,0,3,2,115,10,28,9,38
