Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Jay Bouwmeester,1,2,0,1,0,1,12,918,78,279,1,357,4,194,40,111,0,151
Ryan Getzlaf,1,17,8,25,0,33,10,710,208,470,23,678,4,233,95,120,11,215
Shea Weber,1,45,12,15,3,27,10,685,146,246,20,392,4,190,26,65,18,91
Brandon Dubinsky,1,71,21,22,8,43,9,545,112,207,38,319,4,234,82,148,25,230
Kris Russell,1,14,3,5,0,8,8,511,34,124,8,158,4,241,76,120,6,196
Robyn Regehr,1,5,0,0,0,0,15,1089,36,163,40,199,2,119,16,30,10,46
Jared Cowen,1,3,0,3,0,3,5,212,15,27,8,42,5,239,37,82,12,119
Jared Spurgeon,1,23,2,7,0,9,5,295,26,75,0,101,5,264,37,132,1,169
Derek Boogaard,1,53,0,4,24,4,6,277,3,13,62,16,4,174,3,18,70,21
Tyler Ennis,1,69,23,42,0,65,6,345,89,123,1,212,4,245,115,121,2,236
Kurt Sauer,1,4,0,0,0,0,7,357,5,28,11,33,3,180,12,42,8,54
Eric Brewer,1,25,2,2,2,4,16,1009,77,194,21,271,1,34,5,28,3,33
Brendan Gallagher,1,36,10,10,3,20,3,207,58,58,4,116,4,244,136,144,11,280
Ryan Nugent-Hopkins,1,19,8,12,0,20,4,258,65,123,1,188,3,141,57,120,1,177
Duncan Keith,1,75,7,18,0,25,10,766,75,340,6,415,1,37,11,35,2,46
Ryan Johansen,1,40,17,16,0,33,4,271,73,94,1,167,2,134,65,96,1,161
Ben Clymer,1,50,11,16,4,27,7,438,52,77,25,129,1,70,12,44,5,56
Kyle Freadrich,1,5,0,0,3,0,2,23,0,1,8,1,2,114,8,7,43,15
Morgan Rielly,1,14,1,2,0,3,2,154,10,46,0,56,2,83,9,37,1,46
Damon Severson,1,2,0,2,0,2,1,51,5,12,0,17,3,125,11,43,3,54
Derrick Pouliot,1,31,7,17,0,24,1,34,2,5,0,7,3,145,16,74,5,90
Griffin Reinhart,1,59,7,15,0,22,1,8,0,1,0,1,3,105,18,43,3,61
Marian Cisar,1,2,1,0,0,1,3,73,13,17,0,30,1,52,33,40,2,73
Roman Wick,1,70,20,22,0,42,1,7,0,0,0,0,2,127,53,65,1,118
Sam Reinhart,1,3,0,3,0,3,1,9,0,1,0,1,2,71,30,34,0,64
Greg Leeb,1,79,14,17,0,31,1,2,0,0,0,0,1,68,46,50,1,96
Henrik Samuelsson,1,68,18,22,0,40,1,3,0,0,0,0,1,28,7,16,1,23
Jarret Stoll,2,152,42,66,0,108,12,792,140,239,0,379,5,245,124,162,0,286
Barret Jackman,2,76,2,12,23,14,13,803,28,153,55,181,4,234,28,111,57,139
Braydon Coburn,2,88,7,30,7,37,10,618,37,131,10,168,5,238,29,102,18,131
Kyle Brodziak,2,117,36,51,1,87,10,621,98,130,12,228,5,273,81,104,16,185
Dan Hamhuis,2,136,12,42,2,54,11,814,52,238,9,290,4,247,34,122,13,156
Jordin Tootoo,2,92,19,26,15,45,11,607,59,90,88,149,4,220,93,116,51,209
Travis Moen,2,84,2,4,12,6,11,724,59,75,76,134,4,181,27,31,30,58
Josh Gorges,2,25,2,4,0,6,10,606,14,90,7,104,4,245,33,119,7,152
Karl Alzner,2,104,7,34,0,41,7,427,12,71,1,83,5,260,19,98,2,117
Brooks Laich,2,75,22,27,0,49,11,683,132,185,5,317,3,206,78,124,1,202
Joffrey Lupul,2,6,4,5,0,9,11,655,194,212,10,406,3,191,127,113,2,240
Devin Setoguchi,2,42,11,18,1,29,8,471,127,122,4,249,4,255,118,125,10,243
Scott Hannan,2,43,5,12,2,17,16,1055,38,179,9,217,2,94,25,60,2,85
Andrew Ladd,2,27,12,8,2,20,10,691,185,235,16,420,3,137,49,71,12,120
Tyler Johnson,2,137,68,65,2,133,3,173,56,72,0,128,9,520,167,207,12,374
Martin Erat,2,90,20,44,0,64,13,881,176,369,0,545,2,114,50,85,1,135
Derek Dorsett,2,71,11,13,29,24,7,410,38,60,89,98,3,180,49,79,42,128
Kyle Calder,2,77,26,31,1,57,10,590,114,180,4,294,2,123,69,96,2,165
Travis Hamonic,2,40,6,11,7,17,5,323,18,93,12,111,4,181,29,80,14,109
Brett Connolly,2,137,52,68,1,120,4,139,18,16,2,34,4,144,86,66,0,152
Marek Svatos,2,60,18,8,0,26,7,344,100,72,1,172,2,92,61,57,0,118
Mark Stone,2,91,30,49,0,79,3,103,30,42,0,72,4,232,106,190,4,296
Richie Regehr,2,70,12,32,0,44,2,20,1,3,0,4,6,307,49,150,9,199
Ole-Kristian Tollefsen,2,74,3,16,11,19,5,163,4,8,23,12,2,96,9,41,7,50
Alex Edler,2,51,5,22,0,27,9,568,66,193,0,259,1,62,13,40,0,53
Roman Polak,2,87,4,15,2,19,9,480,18,70,13,88,1,65,5,18,1,23
Nino Niederreiter,2,80,31,23,0,54,4,225,40,36,0,76,2,120,77,53,2,130
Ryan Carter,2,89,19,22,7,41,8,413,34,47,30,81,1,15,0,1,1,1
Scott Parker,2,100,16,10,37,26,8,308,7,14,75,21,1,71,30,22,16,52
Ty Rattie,2,131,52,38,1,90,2,13,0,2,0,2,4,207,103,135,1,238
Tyler Wotherspoon,2,109,3,30,0,33,2,15,0,4,0,4,4,178,10,35,4,45
Mikael Backlund,2,55,15,17,0,32,7,298,51,77,2,128,1,28,12,18,0,30
T.J. Galiardi,2,67,10,18,0,28,7,321,44,61,2,105,1,72,18,52,3,70
Matt Dumba,2,23,5,9,0,14,2,71,9,9,1,18,3,137,35,50,7,85
Brendan Ranford,2,138,30,54,0,84,1,1,0,0,0,0,5,278,115,155,6,270
Colin Smith,2,129,20,45,0,65,1,1,0,0,0,0,4,200,61,104,4,165
Shay Stephenson,2,61,11,10,0,21,1,2,0,0,0,0,4,230,38,48,7,86
Adam Lowry,2,73,17,17,3,34,1,80,11,12,1,23,3,163,45,71,9,116
David Musil,2,126,4,19,2,23,1,4,0,2,0,2,3,192,19,65,8,84
Denis Tolpeko,2,82,19,28,2,47,1,26,1,5,0,6,3,179,46,65,3,111
Keegan Lowe,2,121,4,19,16,23,1,2,0,0,2,0,3,212,7,54,24,61
Masi Marjamaki,2,153,15,33,4,48,1,1,0,0,0,0,3,179,50,70,6,120
Milan Kytnar,2,91,14,18,1,32,1,1,0,0,0,0,3,172,50,76,4,126
Colton Sissons,2,138,50,36,1,86,1,17,1,3,0,4,2,121,43,39,4,82
Jonas Johansson,2,93,13,26,0,39,1,1,0,0,0,0,2,98,28,44,0,72
Victor Rask,2,86,17,27,0,44,1,80,11,22,0,33,1,64,33,30,0,63
Eric Fehr,3,120,50,51,2,101,10,454,89,88,0,177,5,279,146,131,3,277
Blake Comeau,3,111,20,61,4,81,9,483,88,107,4,195,5,253,60,117,13,177
Troy Brouwer,3,146,78,63,11,141,9,531,132,123,25,255,5,287,103,116,15,219
Boyd Gordon,3,103,21,41,0,62,11,628,53,103,1,156,4,260,77,130,4,207
Dustin Byfuglien,3,123,26,48,7,74,10,597,133,211,12,344,4,189,48,94,12,142
Paul Gaustad,3,238,37,100,29,137,11,664,87,138,46,225,3,198,53,82,28,135
